"STA";"SEL";"ID_F1";"TZF_F1";"NUM_TFZ_F1";"TOTALWEIGHT_F1";"VMAX_F1";"BREAKCLASS_F1";"BrH_F1";"LZB_F1";"T10WithI_F1";"ID_F2";"TZF_F2";"NUM_TFZ_F2";"TOTALWEIGHT_F2";"VMAX_F2";"BREAKCLASS_F2";"BrH_F2";"LZB_F2";"T10WithI_F2";"ID_F3";"TZF_F3";"NUM_TFZ_F3";"TOTALWEIGHT_F3";"VMAX_F3";"BREAKCLASS_F3";"BrH_F3";"LZB_F3";"T10WithI_F3"
"133A";"40204#48181";40204;"145-2";1;2000;90;"G";60;"FALSE";697,097735940464;48181;"250-1";1;3200;80;"G";47;"FALSE";1366,39096776331;"";"";"";"";"";"";"";"";""
"133B";"14024#7320";14024;"6186-1";1;1800;90;"P";55;"FALSE";565,440846637843;7320;"203-1";1;1200;90;"G";55;"FALSE";880,27225709561;"";"";"";"";"";"";"";"";""
"139A";"5202#2117";5202;"182-1";1;1700;100;"P";64;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";46;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"139B";"40204#48181";40204;"145-2";1;2000;90;"G";62;"FALSE";697,097735940464;48181;"250-1";1;3200;80;"G";54;"FALSE";1366,39096776331;"";"";"";"";"";"";"";"";""
"143A";"1836#4064";1836;"143-6";1;900;90;"P";54;"FALSE";533,472561925499;4064;"155-1";1;2000;80;"G";54;"FALSE";689,793778379874;"";"";"";"";"";"";"";"";""
"143B";"3757#6356";3757;"152-3";1;1600;100;"P";62;"FALSE";517,588173854945;6356;"185CL1-1";1;1700;90;"P";55;"FALSE";554,019534373292;"";"";"";"";"";"";"";"";""
"145B";"38199#38243#6339";38199;"1016-1";1;1500;80;"G";56;"FALSE";583,719282167677;38243;"1016-1";1;1700;90;"P";60;"TRUE";569,936969863307;"6339";"185CL1-1";"1";"2700";"90";"G";"54";"FALSE";"757.313812602113"
"155B";"14024#7320";14024;"6186-1";1;1800;90;"P";54;"FALSE";565,440846637843;7320;"203-1";1;1200;90;"G";54;"FALSE";880,27225709561;"";"";"";"";"";"";"";"";""
"157A";"5202#13680";5202;"182-1";1;1700;100;"P";68;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";55;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"157B";"5202#2113";5202;"182-1";1;1700;100;"P";65;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";55;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"163A";"5202#678";5202;"182-1";1;1700;100;"P";62;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";62;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"163B";"38264#45058";38264;"1016-1";1;1000;100;"P";54;"FALSE";462,77333037207;45058;"189-3";1;1800;90;"P";54;"FALSE";590,095610502787;"";"";"";"";"";"";"";"";""
"163C";"38264#45058";38264;"1016-1";1;1000;100;"P";54;"FALSE";462,77333037207;45058;"189-3";1;1800;90;"P";54;"FALSE";590,095610502787;"";"";"";"";"";"";"";"";""
"167A";"5202#2113";5202;"182-1";1;1700;100;"P";64;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";50;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"171A";"6359#1809";6359;"185CL1-1";1;2000;90;"P";56;"FALSE";591,201223460904;1809;"143-6";1;1500;80;"G";62;"FALSE";723,205865367023;"";"";"";"";"";"";"";"";""
"173B";"5202#2113";5202;"182-1";1;1700;100;"P";67;"TRUE";530,409922745475;2113;"145-2";1;2300;80;"G";56;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"173C";"5202#13680";5202;"182-1";1;1700;100;"P";63;"TRUE";530,409922745475;13680;"4370-1";1;2200;90;"G";56;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"177B";"14024#7320";14024;"6186-1";1;1800;90;"P";56;"FALSE";565,440846637843;7320;"203-1";1;1200;90;"G";47;"FALSE";880,27225709561;"";"";"";"";"";"";"";"";""
"187A";"5202#2113";5202;"182-1";1;1700;100;"P";54;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";38;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"187B";"5202#13680";5202;"182-1";1;1700;100;"P";54;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";54;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"193A";"3757#6356";3757;"152-3";1;1600;100;"P";54;"FALSE";517,588173854945;6356;"185CL1-1";1;1700;90;"P";56;"FALSE";554,019534373292;"";"";"";"";"";"";"";"";""
"193B";"5202#678";5202;"182-1";1;1700;100;"P";61;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";55;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"193C";"5202#678";5202;"182-1";1;1700;100;"P";65;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";56;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"195A";"113746#104775#3755";113746;"Re 421-1";1;1000;90;"P";52;"FALSE";566,200609430346;104775;"247-1";1;1800;60;"P";70;"FALSE";1452,45579255167;"3755";"152-3";"1";"1400";"100";"P";"61";"FALSE";"494.33084389317"
"197B";"5202#13680";5202;"182-1";1;1700;100;"P";54;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";53;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"207A";"5202#13680";5202;"182-1";1;1700;100;"P";65;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";53;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
